User Input,Chatbot Response
Hi,Hi there
Hi,Hello
Hi,Hey
Hi,"I'm fine, thank you"
Hi,Nothing much
Hello,Hi there
Hello,Hello
Hello,Hey
Hello,"I'm fine, thank you"
Hello,Nothing much
Hey,Hi there
Hey,Hello
Hey,Hey
Hey,"I'm fine, thank you"
Hey,Nothing much
How are you,Hi there
How are you,Hello
How are you,Hey
How are you,"I'm fine, thank you"
How are you,Nothing much
What's up,Hi there
What's up,Hello
What's up,Hey
What's up,"I'm fine, thank you"
What's up,Nothing much
Bye,Goodbye
Bye,See you later
Bye,Take care
See you later,Goodbye
See you later,See you later
See you later,Take care
Goodbye,Goodbye
Goodbye,See you later
Goodbye,Take care
Take care,Goodbye
Take care,See you later
Take care,Take care
Thank you,You're welcome
Thank you,No problem
Thank you,Glad I could help
Thanks,You're welcome
Thanks,No problem
Thanks,Glad I could help
Thanks a lot,You're welcome
Thanks a lot,No problem
Thanks a lot,Glad I could help
I appreciate it,You're welcome
I appreciate it,No problem
I appreciate it,Glad I could help
What can you do,I am a chatbot
What can you do,My purpose is to assist you
What can you do,I can answer questions and provide assistance
Who are you,I am a chatbot
Who are you,My purpose is to assist you
Who are you,I can answer questions and provide assistance
What are you,I am a chatbot
What are you,My purpose is to assist you
What are you,I can answer questions and provide assistance
What is your purpose,I am a chatbot
What is your purpose,My purpose is to assist you
What is your purpose,I can answer questions and provide assistance
Help,"Sure, what do you need help with?"
Help,I'm here to help. What's the problem?
Help,How can I assist you?
I need help,"Sure, what do you need help with?"
I need help,I'm here to help. What's the problem?
I need help,How can I assist you?
Can you help me,"Sure, what do you need help with?"
Can you help me,I'm here to help. What's the problem?
Can you help me,How can I assist you?
What should I do,"Sure, what do you need help with?"
What should I do,I'm here to help. What's the problem?
What should I do,How can I assist you?
How old are you,I don't have an age. I'm a chatbot.
How old are you,I was just born in the digital world.
How old are you,Age is just a number for me.
What's your age,I don't have an age. I'm a chatbot.
What's your age,I was just born in the digital world.
What's your age,Age is just a number for me.
What's the weather like,"I'm sorry, I cannot provide real-time weather information."
What's the weather like,You can check the weather on a weather app or website.
How's the weather today,"I'm sorry, I cannot provide real-time weather information."
How's the weather today,You can check the weather on a weather app or website.
How can I make a budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies."
How can I make a budget,"A good budgeting strategy is to use the 50/30/20 rule. This means allocating 50% of your income towards essential expenses, 30% towards discretionary expenses, and 20% towards savings and debt repayment."
How can I make a budget,"To create a budget, start by setting financial goals for yourself. Then, track your income and expenses for a few months to get a sense of where your money is going. Next, create a budget by allocating your income towards essential expenses, savings and debt repayment, and discretionary expenses."
What's a good budgeting strategy,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies."
What's a good budgeting strategy,"A good budgeting strategy is to use the 50/30/20 rule. This means allocating 50% of your income towards essential expenses, 30% towards discretionary expenses, and 20% towards savings and debt repayment."
What's a good budgeting strategy,"To create a budget, start by setting financial goals for yourself. Then, track your income and expenses for a few months to get a sense of where your money is going. Next, create a budget by allocating your income towards essential expenses, savings and debt repayment, and discretionary expenses."
How do I create a budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies."
How do I create a budget,"A good budgeting strategy is to use the 50/30/20 rule. This means allocating 50% of your income towards essential expenses, 30% towards discretionary expenses, and 20% towards savings and debt repayment."
How do I create a budget,"To create a budget, start by setting financial goals for yourself. Then, track your income and expenses for a few months to get a sense of where your money is going. Next, create a budget by allocating your income towards essential expenses, savings and debt repayment, and discretionary expenses."
